date;time;type;value;unit
28/01/2015;12:24:51.637;indoor temperature;21.9;°C
28/01/2015;12:24:54.457;volatile organic compounds;0.05;ppm
28/01/2015;12:25:00.057;carbon dioxide;414;ppm
28/01/2015;12:25:45.729;indoor relative humidity;35.0;%
28/01/2015;12:26:46.321;indoor relative humidity;35.0;%
28/01/2015;12:27:46.343;indoor relative humidity;35.0;%
28/01/2015;12:27:52.154;indoor temperature;21.9;°C
28/01/2015;12:27:54.644;volatile organic compounds;0.05;ppm
28/01/2015;12:27:59.674;carbon dioxide;414;ppm
28/01/2015;12:28:46.337;indoor relative humidity;35.0;%
28/01/2015;12:29:46.839;indoor relative humidity;35.0;%
28/01/2015;12:30:45.243;indoor relative humidity;35.0;%
28/01/2015;12:30:49.353;indoor temperature;21.8;°C
28/01/2015;12:30:56.973;volatile organic compounds;0.05;ppm
28/01/2015;12:31:01.673;carbon dioxide;414;ppm
28/01/2015;12:31:46.925;indoor relative humidity;35.0;%
28/01/2015;12:32:46.948;indoor relative humidity;35.0;%
28/01/2015;12:33:44.630;indoor relative humidity;35.0;%
28/01/2015;12:33:50.231;indoor temperature;21.8;°C
28/01/2015;12:33:55.141;volatile organic compounds;0.05;ppm
28/01/2015;12:34:00.871;carbon dioxide;414;ppm
28/01/2015;12:34:45.343;indoor relative humidity;35.0;%
28/01/2015;12:35:44.535;indoor relative humidity;35.0;%
28/01/2015;12:36:47.037;indoor relative humidity;35.0;%
28/01/2015;12:36:49.247;indoor temperature;21.9;°C
28/01/2015;12:36:54.858;volatile organic compounds;0.05;ppm
28/01/2015;12:37:00.868;carbon dioxide;414;ppm
28/01/2015;12:37:44.140;indoor relative humidity;35.0;%
28/01/2015;12:38:46.232;indoor relative humidity;35.0;%
28/01/2015;12:39:47.035;indoor relative humidity;35.0;%
28/01/2015;12:39:50.235;indoor temperature;21.8;°C
28/01/2015;12:39:54.965;volatile organic compounds;0.05;ppm
28/01/2015;12:39:59.255;carbon dioxide;411;ppm
28/01/2015;12:40:45.138;indoor relative humidity;35.0;%
28/01/2015;12:41:46.740;indoor relative humidity;35.0;%
28/01/2015;12:42:44.423;indoor relative humidity;35.0;%
28/01/2015;12:42:50.153;indoor temperature;21.8;°C
28/01/2015;12:42:55.653;volatile organic compounds;0.05;ppm
28/01/2015;12:43:01.563;carbon dioxide;411;ppm
28/01/2015;12:43:46.645;indoor relative humidity;35.0;%
28/01/2015;12:44:45.738;indoor relative humidity;35.0;%
28/01/2015;12:45:44.941;indoor relative humidity;35.0;%
28/01/2015;12:45:50.361;indoor temperature;21.7;°C
28/01/2015;12:45:55.371;volatile organic compounds;0.05;ppm
28/01/2015;12:46:01.051;carbon dioxide;408;ppm
28/01/2015;12:46:44.543;indoor relative humidity;35.0;%
28/01/2015;12:47:44.325;indoor relative humidity;35.0;%
28/01/2015;12:48:44.828;indoor relative humidity;35.0;%
28/01/2015;12:48:50.668;indoor temperature;21.8;°C
28/01/2015;12:48:55.158;volatile organic compounds;0.05;ppm
28/01/2015;12:48:59.558;carbon dioxide;405;ppm
28/01/2015;12:49:44.550;indoor relative humidity;35.0;%
28/01/2015;12:50:44.743;indoor relative humidity;35.0;%
28/01/2015;12:51:45.036;indoor relative humidity;35.0;%
28/01/2015;12:51:49.646;indoor temperature;21.8;°C
28/01/2015;12:51:55.366;volatile organic compounds;0.05;ppm
28/01/2015;12:52:01.357;carbon dioxide;405;ppm
28/01/2015;12:52:45.829;indoor relative humidity;35.0;%
28/01/2015;12:53:44.652;indoor relative humidity;35.0;%
28/01/2015;12:54:46.824;indoor relative humidity;36.0;%
28/01/2015;12:54:49.164;indoor temperature;21.6;°C
28/01/2015;12:54:55.165;volatile organic compounds;0.05;ppm
28/01/2015;12:55:00.875;carbon dioxide;405;ppm
28/01/2015;12:55:46.927;indoor relative humidity;36.0;%
28/01/2015;12:56:44.229;indoor relative humidity;36.0;%
28/01/2015;12:57:46.731;indoor relative humidity;36.0;%
28/01/2015;12:57:49.341;indoor temperature;21.6;°C
28/01/2015;12:57:56.042;volatile organic compounds;0.05;ppm
28/01/2015;12:58:00.782;carbon dioxide;398;ppm
28/01/2015;12:58:45.554;indoor relative humidity;36.0;%
28/01/2015;12:59:46.056;indoor relative humidity;36.0;%
28/01/2015;13:00:44.159;indoor relative humidity;36.0;%
28/01/2015;13:00:49.659;indoor temperature;21.8;°C
28/01/2015;13:00:55.559;volatile organic compounds;0.05;ppm
28/01/2015;13:01:00.399;carbon dioxide;399;ppm
28/01/2015;13:01:44.531;indoor relative humidity;36.0;%
28/01/2015;13:02:47.163;indoor relative humidity;36.0;%
28/01/2015;13:03:46.735;indoor relative humidity;36.0;%
28/01/2015;13:03:49.356;indoor temperature;21.8;°C
28/01/2015;13:03:55.046;volatile organic compounds;0.05;ppm
28/01/2015;13:04:00.686;carbon dioxide;402;ppm
28/01/2015;13:04:44.439;indoor relative humidity;36.0;%
28/01/2015;13:05:44.861;indoor relative humidity;36.0;%
28/01/2015;13:06:45.433;indoor relative humidity;36.0;%
28/01/2015;13:06:51.073;indoor temperature;21.8;°C
28/01/2015;13:06:55.774;volatile organic compounds;0.05;ppm
28/01/2015;13:07:00.475;carbon dioxide;399;ppm
28/01/2015;13:07:44.436;indoor relative humidity;36.0;%
28/01/2015;13:08:45.548;indoor relative humidity;36.0;%
28/01/2015;13:09:45.131;indoor relative humidity;36.0;%
28/01/2015;13:09:50.651;indoor temperature;21.8;°C
28/01/2015;13:09:56.571;volatile organic compounds;0.05;ppm
28/01/2015;13:09:59.071;carbon dioxide;402;ppm
28/01/2015;13:10:44.433;indoor relative humidity;36.0;%
28/01/2015;13:11:45.357;indoor relative humidity;36.0;%
28/01/2015;13:12:44.529;indoor relative humidity;36.0;%
28/01/2015;13:12:51.739;indoor temperature;21.7;°C
28/01/2015;13:12:56.879;volatile organic compounds;0.04;ppm
28/01/2015;13:13:00.969;carbon dioxide;390;ppm
28/01/2015;13:13:45.651;indoor relative humidity;36.0;%
28/01/2015;13:14:45.224;indoor relative humidity;36.0;%
28/01/2015;13:15:44.826;indoor relative humidity;36.0;%
28/01/2015;13:15:49.866;indoor temperature;21.7;°C
28/01/2015;13:15:55.257;volatile organic compounds;0.05;ppm
28/01/2015;13:15:59.997;carbon dioxide;390;ppm
28/01/2015;13:16:46.840;indoor relative humidity;36.0;%
28/01/2015;13:17:45.662;indoor relative humidity;36.0;%
28/01/2015;13:18:46.235;indoor relative humidity;36.0;%
28/01/2015;13:18:52.145;indoor temperature;21.7;°C
28/01/2015;13:18:54.955;volatile organic compounds;0.05;ppm
28/01/2015;13:19:00.555;carbon dioxide;396;ppm
28/01/2015;13:19:46.229;indoor relative humidity;36.0;%
28/01/2015;13:20:46.042;indoor relative humidity;36.0;%
